Wed Mar 22 15:46:09 2023	 9.0	 0.00000	 -225.00000	 -1789.00000	 841.00000	 -820.00000	 307.00000	 -88.00000	2	
Wed Mar 22 15:46:11 2023	 10.0	 0.00000	 -121.00000	 -1977.00000	 568.00000	 -446.00000	 -144.00000	 -117.00000	2	
Wed Mar 22 15:46:14 2023	 11.0	 0.00000	 -174.00000	 -2075.00000	 3.00000	 57.00000	 1.00000	 107.00000	2	
Wed Mar 22 15:46:16 2023	 12.0	 0.00000	 91.00000	 -1915.00000	 -312.00000	 -172.00000	 10.00000	 -58.00000	2	
Wed Mar 22 15:46:18 2023	 13.0	 0.00000	 148.00000	 -2064.00000	 -80.00000	 23.00000	 28.00000	 102.00000	2	
Wed Mar 22 15:46:20 2023	 14.0	 0.00000	 145.00000	 -2081.00000	 -275.00000	 2.00000	 -110.00000	 9.00000	2	
Wed Mar 22 15:46:22 2023	 15.0	 0.00000	 57.00000	 -2066.00000	 -343.00000	 20.00000	 -23.00000	 52.00000	2	
Wed Mar 22 15:46:24 2023	 16.0	 0.00000	 -2.00000	 -2052.00000	 -339.00000	 2.00000	 -43.00000	 26.00000	2	
Wed Mar 22 15:46:26 2023	 17.0	 0.00000	 -155.00000	 -2054.00000	 -377.00000	 1.00000	 -22.00000	 37.00000	2	
Wed Mar 22 15:46:28 2023	 18.0	 0.00000	 -186.00000	 -2054.00000	 -429.00000	 1.00000	 -58.00000	 23.00000	2	
Wed Mar 22 15:46:30 2023	 19.0	 0.00000	 506.00000	 -2158.00000	 -104.00000	 622.00000	 -297.00000	 -27.00000	2	
Wed Mar 22 15:46:33 2023	 20.0	 0.00000	 1816.00000	 66.00000	 -945.00000	 -11.00000	 60.00000	 135.00000	2	
Wed Mar 22 15:46:35 2023	 21.0	 0.00000	 1996.00000	 -143.00000	 -646.00000	 46.00000	 -43.00000	 32.00000	2	
Wed Mar 22 15:46:37 2023	 22.0	 0.00000	 2095.00000	 16.00000	 -171.00000	 -47.00000	 -55.00000	 77.00000	2	
Wed Mar 22 15:46:39 2023	 23.0	 0.00000	 2028.00000	 -193.00000	 -198.00000	 65.00000	 -30.00000	 60.00000	2	
Wed Mar 22 15:46:51 2023	 0.0	 0.00000	 2029.00000	 -240.00000	 -266.00000	 1.00000	 -100.00000	 15.00000	2	
Wed Mar 22 15:46:54 2023	 1.0	 0.00000	 2032.00000	 11.00000	 -186.00000	 154.00000	 -26.00000	 71.00000	2	
Wed Mar 22 15:46:56 2023	 2.0	 0.00000	 2036.00000	 -1.00000	 -92.00000	 39.00000	 -20.00000	 18.00000	2	
Wed Mar 22 15:46:58 2023	 3.0	 0.00000	 2052.00000	 3.00000	 -21.00000	 -17.00000	 -63.00000	 15.00000	2	
Wed Mar 22 15:47:00 2023	 4.0	 0.00000	 2151.00000	 115.00000	 -263.00000	 789.00000	 -535.00000	 -334.00000	2	
Wed Mar 22 15:47:02 2023	 5.0	 0.00000	 -28.00000	 -1979.00000	 422.00000	 -78.00000	 -10.00000	 10.00000	2	
Wed Mar 22 15:47:04 2023	 6.0	 0.00000	 -825.00000	 -1746.00000	 -13.00000	 2525.00000	 3492.00000	 -417.00000	2	
Wed Mar 22 15:47:06 2023	 7.0	 0.00000	 43.00000	 -2118.00000	 -32.00000	 86.00000	 -189.00000	 -63.00000	2	
Wed Mar 22 15:47:08 2023	 8.0	 0.00000	 -30.00000	 -2014.00000	 216.00000	 -51.00000	 -7.00000	 50.00000	2	
