Mon Dec 16 08:11:29 2019	 39.0	 1.00000	 0.74000	 -5.21000	 7.89000	 1.76000	 -2.85000	 0.19000	2	
Mon Dec 16 08:11:29 2019	 40.0	 1.00000	 0.63000	 -5.18000	 7.88000	 1.93000	 -2.69000	 0.17000	2	
Mon Dec 16 08:11:29 2019	 41.0	 1.00000	 0.73000	 -5.22000	 7.80000	 1.86000	 -3.11000	 0.11000	2	
Mon Dec 16 08:11:29 2019	 42.0	 1.00000	 0.76000	 -5.24000	 7.85000	 2.16000	 -2.80000	 0.35000	2	
Mon Dec 16 08:11:29 2019	 43.0	 1.00000	 0.66000	 -5.15000	 7.85000	 2.23000	 -2.80000	 0.22000	2	
Mon Dec 16 08:11:29 2019	 44.0	 1.00000	 0.71000	 -5.20000	 7.85000	 1.69000	 -3.08000	 0.09000	2	
Mon Dec 16 08:11:29 2019	 45.0	 1.00000	 0.68000	 -5.21000	 7.93000	 2.04000	 -2.92000	 0.10000	2	
Mon Dec 16 08:11:29 2019	 46.0	 1.00000	 0.77000	 -5.21000	 7.82000	 2.07000	 -2.92000	 0.03000	2	
Mon Dec 16 08:11:29 2019	 47.0	 1.00000	 0.70000	 -5.22000	 7.91000	 1.94000	 -2.81000	 0.13000	2	
Mon Dec 16 08:11:29 2019	 48.0	 1.00000	 0.69000	 -5.21000	 7.87000	 1.93000	 -2.92000	 0.15000	2	
Mon Dec 16 08:11:29 2019	 49.0	 1.00000	 0.70000	 -5.22000	 7.89000	 2.02000	 -3.11000	 0.11000	2	
Mon Dec 16 08:11:29 2019	 50.0	 1.00000	 0.72000	 -5.18000	 7.93000	 1.85000	 -2.93000	 0.22000	2	
Mon Dec 16 08:11:29 2019	 51.0	 1.00000	 0.78000	 -5.20000	 7.85000	 1.85000	 -2.98000	 0.27000	2	
Mon Dec 16 08:11:29 2019	 52.0	 1.00000	 0.69000	 -5.22000	 7.93000	 1.95000	 -3.09000	 0.17000	2	
Mon Dec 16 08:11:30 2019	 53.0	 1.00000	 0.68000	 -5.20000	 7.93000	 1.98000	 -2.82000	 0.05000	2	
Mon Dec 16 08:11:30 2019	 54.0	 1.00000	 0.71000	 -5.23000	 7.81000	 2.02000	 -2.99000	 0.07000	2	
Mon Dec 16 08:11:30 2019	 55.0	 1.00000	 0.74000	 -5.21000	 7.93000	 2.18000	 -2.81000	 0.02000	2	
Mon Dec 16 08:11:30 2019	 56.0	 1.00000	 0.73000	 -5.22000	 7.85000	 1.93000	 -3.03000	 0.11000	2	
Mon Dec 16 08:11:30 2019	 57.0	 1.00000	 0.74000	 -5.21000	 7.88000	 2.06000	 -2.87000	 0.23000	2	
Mon Dec 16 08:11:30 2019	 58.0	 1.00000	 0.72000	 -5.16000	 7.93000	 2.03000	 -2.69000	 0.10000	2	
Mon Dec 16 08:11:30 2019	 59.0	 1.00000	 0.71000	 -5.17000	 7.81000	 2.13000	 -2.95000	 0.39000	2	
Mon Dec 16 08:11:30 2019	 60.0	 1.00000	 0.76000	 -5.20000	 7.88000	 1.97000	 -3.05000	 0.05000	2	
Mon Dec 16 08:11:30 2019	 61.0	 1.00000	 0.71000	 -5.20000	 7.85000	 1.87000	 -3.01000	 0.13000	2	
Mon Dec 16 08:11:30 2019	 62.0	 1.00000	 0.75000	 -5.21000	 7.88000	 1.90000	 -3.04000	 0.18000	2	
Mon Dec 16 08:11:30 2019	 63.0	 1.00000	 0.69000	 -5.17000	 7.84000	 2.01000	 -3.02000	 -0.15000	2	
Mon Dec 16 08:11:30 2019	 64.0	 1.00000	 0.73000	 -5.19000	 7.87000	 1.89000	 -2.69000	 0.00000	2	
Mon Dec 16 08:11:30 2019	 65.0	 1.00000	 0.74000	 -5.15000	 7.85000	 2.21000	 -2.98000	 0.04000	2	
Mon Dec 16 08:11:30 2019	 66.0	 1.00000	 0.70000	 -5.24000	 7.93000	 2.15000	 -3.15000	 -0.06000	2	
Mon Dec 16 08:11:30 2019	 67.0	 1.00000	 0.71000	 -5.18000	 7.84000	 1.98000	 -3.07000	 0.18000	2	
Mon Dec 16 08:11:30 2019	 68.0	 1.00000	 0.68000	 -5.23000	 7.90000	 2.12000	 -2.89000	 0.25000	2	
Mon Dec 16 08:11:30 2019	 69.0	 1.00000	 0.67000	 -5.12000	 7.94000	 1.34000	 -3.59000	 0.21000	2	
Mon Dec 16 08:11:30 2019	 70.0	 1.00000	 0.73000	 -5.26000	 7.86000	 2.15000	 -2.92000	 0.07000	2	
Mon Dec 16 08:11:31 2019	 71.0	 1.00000	 0.76000	 -5.23000	 8.02000	 2.37000	 -2.58000	 0.05000	2	
Mon Dec 16 08:11:31 2019	 72.0	 1.00000	 0.67000	 -5.21000	 7.85000	 1.89000	 -3.02000	 0.30000	2	
Mon Dec 16 08:11:31 2019	 73.0	 1.00000	 0.71000	 -5.25000	 7.83000	 1.93000	 -2.98000	 0.22000	2	
Mon Dec 16 08:11:31 2019	 74.0	 1.00000	 0.72000	 -5.26000	 7.90000	 2.18000	 -2.79000	 0.11000	2	
Mon Dec 16 08:11:31 2019	 75.0	 1.00000	 0.69000	 -5.21000	 7.89000	 1.84000	 -2.87000	 0.21000	2	
Mon Dec 16 08:11:31 2019	 76.0	 1.00000	 0.74000	 -5.22000	 7.89000	 1.95000	 -2.82000	 0.02000	2	
Mon Dec 16 08:11:31 2019	 77.0	 1.00000	 0.71000	 -5.18000	 7.86000	 1.97000	 -3.06000	 0.15000	2	
Mon Dec 16 08:11:31 2019	 78.0	 1.00000	 0.69000	 -5.17000	 7.83000	 1.75000	 -2.83000	 0.00000	2	
Mon Dec 16 08:11:31 2019	 79.0	 1.00000	 0.69000	 -5.20000	 7.90000	 1.95000	 -2.85000	 0.18000	2	
Mon Dec 16 08:11:31 2019	 80.0	 1.00000	 0.68000	 -5.27000	 7.88000	 1.79000	 -3.00000	 0.10000	2	
Mon Dec 16 08:11:31 2019	 81.0	 1.00000	 0.71000	 -5.23000	 7.86000	 1.95000	 -2.90000	 -0.07000	2	
Mon Dec 16 08:11:31 2019	 82.0	 1.00000	 0.70000	 -5.26000	 7.89000	 1.79000	 -2.99000	 0.21000	2	
Mon Dec 16 08:11:31 2019	 83.0	 1.00000	 0.68000	 -5.18000	 7.84000	 1.95000	 -2.95000	 0.16000	2	
Mon Dec 16 08:11:31 2019	 84.0	 1.00000	 0.71000	 -5.20000	 7.86000	 1.84000	 -2.85000	 -0.03000	2	
Mon Dec 16 08:11:31 2019	 85.0	 1.00000	 0.77000	 -5.30000	 7.87000	 2.27000	 -2.69000	 0.16000	2	
Mon Dec 16 08:11:31 2019	 86.0	 1.00000	 0.68000	 -5.22000	 7.90000	 2.15000	 -2.72000	 0.15000	2	
Mon Dec 16 08:11:31 2019	 87.0	 1.00000	 0.68000	 -5.19000	 7.82000	 1.80000	 -3.11000	 0.08000	2	
Mon Dec 16 08:11:32 2019	 88.0	 1.00000	 0.73000	 -5.17000	 7.89000	 2.01000	 -2.89000	 0.07000	2	
Mon Dec 16 08:11:32 2019	 89.0	 1.00000	 0.67000	 -5.23000	 7.85000	 2.07000	 -3.01000	 0.09000	2	
Mon Dec 16 08:11:32 2019	 90.0	 1.00000	 0.74000	 -5.18000	 7.90000	 1.97000	 -2.73000	 0.15000	2	
Mon Dec 16 08:11:32 2019	 91.0	 1.00000	 0.67000	 -5.21000	 7.90000	 2.03000	 -2.69000	 -0.01000	2	
Mon Dec 16 08:11:32 2019	 92.0	 1.00000	 0.76000	 -5.23000	 7.92000	 1.95000	 -2.78000	 0.20000	2	
Mon Dec 16 08:11:32 2019	 93.0	 1.00000	 0.71000	 -5.17000	 7.81000	 2.02000	 -2.95000	 0.20000	2	
Mon Dec 16 08:11:32 2019	 94.0	 1.00000	 0.70000	 -5.23000	 7.84000	 1.98000	 -3.02000	 0.10000	2	
Mon Dec 16 08:11:32 2019	 95.0	 1.00000	 0.68000	 -5.23000	 7.86000	 1.85000	 -2.99000	 0.14000	2	
Mon Dec 16 08:11:32 2019	 96.0	 1.00000	 0.68000	 -5.22000	 7.91000	 2.11000	 -2.89000	 0.09000	2	
Mon Dec 16 08:11:32 2019	 97.0	 1.00000	 0.72000	 -5.22000	 7.93000	 2.02000	 -2.95000	 0.18000	2	
Mon Dec 16 08:11:32 2019	 98.0	 1.00000	 0.69000	 -5.22000	 7.99000	 2.20000	 -2.93000	 0.20000	2	
Mon Dec 16 08:11:32 2019	 99.0	 1.00000	 0.76000	 -5.26000	 7.90000	 1.96000	 -3.10000	 0.07000	2	
Mon Dec 16 08:11:32 2019	 100.0	 1.00000	 0.72000	 -5.23000	 7.85000	 1.94000	 -2.81000	 0.21000	2	
Mon Dec 16 08:11:32 2019	 101.0	 1.00000	 0.71000	 -5.18000	 7.91000	 2.01000	 -2.96000	 0.27000	2	
Mon Dec 16 08:11:32 2019	 102.0	 1.00000	 0.66000	 -5.22000	 7.86000	 2.15000	 -2.73000	 0.06000	2	
Mon Dec 16 08:11:32 2019	 103.0	 1.00000	 0.72000	 -5.20000	 7.77000	 2.07000	 -2.86000	 0.24000	2	
Mon Dec 16 08:11:32 2019	 104.0	 1.00000	 0.68000	 -5.24000	 7.80000	 2.01000	 -2.96000	 0.14000	2	
Mon Dec 16 08:11:33 2019	 105.0	 1.00000	 0.72000	 -5.15000	 7.90000	 1.95000	 -2.85000	 0.05000	2	
Mon Dec 16 08:11:33 2019	 106.0	 1.00000	 0.69000	 -5.23000	 7.86000	 2.16000	 -2.73000	 0.02000	2	
Mon Dec 16 08:11:33 2019	 107.0	 1.00000	 0.70000	 -5.18000	 7.80000	 2.21000	 -3.03000	 0.05000	2	
Mon Dec 16 08:11:33 2019	 108.0	 1.00000	 0.61000	 -5.21000	 7.80000	 1.89000	 -3.19000	 0.09000	2	
Mon Dec 16 08:11:33 2019	 109.0	 1.00000	 0.70000	 -5.24000	 7.88000	 2.12000	 -2.92000	 0.18000	2	
Mon Dec 16 08:11:33 2019	 110.0	 1.00000	 0.69000	 -5.19000	 7.84000	 1.98000	 -2.81000	 0.25000	2	
Mon Dec 16 08:11:33 2019	 111.0	 1.00000	 0.75000	 -5.27000	 7.93000	 2.02000	 -3.08000	 0.23000	2	
Mon Dec 16 08:11:33 2019	 112.0	 1.00000	 0.72000	 -5.29000	 7.90000	 2.10000	 -2.82000	 0.24000	2	
Mon Dec 16 08:11:33 2019	 113.0	 1.00000	 0.71000	 -5.21000	 7.88000	 1.95000	 -2.89000	 0.10000	2	
Mon Dec 16 08:11:33 2019	 114.0	 1.00000	 0.77000	 -5.23000	 7.80000	 1.98000	 -3.03000	 0.25000	2	
Mon Dec 16 08:11:33 2019	 115.0	 1.00000	 0.70000	 -5.22000	 7.89000	 1.94000	 -2.98000	 0.07000	2	
Mon Dec 16 08:11:33 2019	 116.0	 1.00000	 0.69000	 -5.20000	 7.92000	 2.10000	 -3.05000	 0.12000	2	
Mon Dec 16 08:11:33 2019	 117.0	 1.00000	 0.72000	 -5.19000	 7.85000	 1.96000	 -2.98000	 0.06000	2	
Mon Dec 16 08:11:33 2019	 118.0	 1.00000	 0.74000	 -5.20000	 7.97000	 1.98000	 -2.99000	 0.10000	2	
Mon Dec 16 08:11:33 2019	 119.0	 1.00000	 0.65000	 -5.23000	 7.91000	 2.02000	 -2.92000	 0.26000	2	
Mon Dec 16 08:11:33 2019	 120.0	 1.00000	 0.70000	 -5.20000	 7.87000	 2.06000	 -2.85000	 0.06000	2	
Mon Dec 16 08:11:33 2019	 121.0	 1.00000	 0.65000	 -5.24000	 7.97000	 2.00000	 -2.88000	 0.22000	2	
Mon Dec 16 08:11:33 2019	 122.0	 1.00000	 0.71000	 -5.26000	 7.84000	 2.11000	 -2.98000	 0.08000	2	
Mon Dec 16 08:11:34 2019	 123.0	 1.00000	 0.73000	 -5.20000	 8.02000	 1.88000	 -2.70000	 0.12000	2	
Mon Dec 16 08:11:34 2019	 124.0	 1.00000	 0.72000	 -5.16000	 7.88000	 2.00000	 -2.84000	 0.30000	2	
Mon Dec 16 08:11:34 2019	 125.0	 1.00000	 0.79000	 -5.22000	 7.85000	 1.92000	 -2.95000	 0.23000	2	
Mon Dec 16 08:11:34 2019	 126.0	 1.00000	 0.72000	 -5.21000	 7.91000	 1.83000	 -3.17000	 0.21000	2	
Mon Dec 16 08:11:34 2019	 127.0	 1.00000	 0.79000	 -5.18000	 7.86000	 1.95000	 -3.00000	 0.15000	2	
Mon Dec 16 08:11:34 2019	 128.0	 1.00000	 0.73000	 -5.23000	 7.87000	 2.05000	 -2.73000	 0.20000	2	
