aX,aY,aZ,gX,gY,gZ
0.104,1.260,0.599,-6.897,42.725,-2.197
0.052,1.123,0.537,3.479,36.194,-14.832
0.042,0.949,0.501,11.597,24.597,-26.550
-0.011,0.818,0.502,17.456,9.827,-34.424
-0.073,0.679,0.525,21.973,-5.188,-38.147
-0.187,0.629,0.547,24.109,-16.541,-38.086
-0.183,0.597,0.594,24.536,-20.996,-33.447
-0.231,0.619,0.652,24.658,-27.893,-27.954
-0.233,0.638,0.697,26.672,-32.104,-24.292
-0.245,0.656,0.757,29.541,-31.494,-20.569
-0.221,0.678,0.789,33.142,-25.391,-15.991
-0.204,0.673,0.778,36.011,-16.235,-12.268
-0.143,0.654,0.774,37.415,-5.127,-11.230
-0.117,0.646,0.755,36.438,4.700,-13.855
-0.080,0.656,0.762,33.081,12.268,-20.386
-0.117,0.663,0.731,28.015,13.916,-28.931
-0.051,0.612,0.761,23.315,13.550,-36.316
-0.122,0.566,0.754,18.616,9.705,-39.612
-0.099,0.529,0.770,14.526,5.737,-42.114
-0.092,0.497,0.783,11.536,4.639,-41.321
-0.085,0.444,0.802,7.385,1.648,-40.344
-0.074,0.393,0.831,3.052,-0.854,-39.917
-0.007,0.369,0.859,-1.099,-0.366,-39.124
0.025,0.369,0.878,-4.822,-0.977,-38.391
0.018,0.342,0.892,-7.202,-1.953,-38.818
0.078,0.293,0.947,-8.728,0.488,-41.199
0.092,0.249,0.975,-11.414,1.221,-45.410
0.022,0.232,0.985,-14.709,-0.549,-49.194
0.024,0.200,1.028,-18.188,2.014,-50.171
0.069,0.153,1.060,-22.644,2.930,-49.133
0.027,0.151,1.051,-26.367,2.380,-46.875
0.027,0.123,1.073,-28.503,4.761,-42.236
0.096,0.122,1.113,-29.480,4.456,-37.109
0.102,0.120,1.134,-28.564,1.099,-33.752
0.181,0.080,1.188,-23.865,-0.183,-32.654
0.175,0.073,1.206,-17.944,-3.235,-33.752
0.194,0.063,1.230,-11.353,-3.967,-35.217
0.157,0.016,1.229,-5.005,-5.005,-34.363
0.142,-0.003,1.230,3.174,-0.916,-33.630
0.161,-0.025,1.212,11.536,8.240,-33.020
0.175,-0.056,1.187,17.578,13.306,-32.349
0.138,-0.066,1.149,21.545,12.207,-32.043
0.125,-0.089,1.115,23.926,11.475,-31.555
0.121,-0.121,1.087,25.696,13.550,-28.992
0.113,-0.112,1.063,25.879,16.174,-26.245
0.116,-0.114,1.039,25.330,18.860,-23.071
0.119,-0.102,1.031,24.902,21.179,-19.531
0.133,-0.079,1.021,25.330,22.217,-15.198
0.163,-0.066,1.021,27.588,21.729,-10.620
0.190,-0.046,1.018,31.616,21.118,-6.775
