aX,aY,aZ,gX,gY,gZ
0.734,-0.728,1.005,-11.353,-46.997,22.156
0.748,-0.749,0.970,8.240,-25.330,11.536
0.736,-0.779,0.887,27.039,-3.540,0.732
0.682,-0.824,0.768,44.983,16.907,-9.644
0.620,-0.857,0.630,61.157,35.400,-18.433
0.564,-0.885,0.517,75.562,49.561,-24.719
0.501,-0.896,0.379,87.524,59.387,-28.442
0.446,-0.904,0.244,98.755,66.406,-30.334
0.404,-0.919,0.122,108.582,72.327,-30.823
0.373,-0.921,0.012,114.990,76.477,-30.334
0.353,-0.921,-0.078,118.713,77.942,-29.297
0.334,-0.916,-0.156,119.568,76.599,-27.832
0.314,-0.906,-0.213,118.042,74.707,-25.452
0.303,-0.881,-0.255,115.601,74.097,-21.545
0.301,-0.839,-0.296,113.159,74.585,-17.639
0.293,-0.796,-0.343,111.938,76.355,-15.015
0.291,-0.770,-0.406,112.366,78.491,-13.794
0.296,-0.735,-0.472,113.953,78.918,-12.878
0.312,-0.701,-0.532,116.089,75.256,-13.123
0.312,-0.679,-0.577,117.249,68.542,-14.343
0.298,-0.672,-0.620,115.234,61.890,-15.930
0.280,-0.662,-0.656,111.145,56.458,-16.052
0.278,-0.649,-0.666,106.995,50.964,-13.916
0.274,-0.624,-0.664,101.074,46.753,-10.742
0.272,-0.588,-0.668,94.238,44.617,-8.118
0.285,-0.559,-0.666,90.576,43.518,-6.531
0.280,-0.531,-0.661,89.722,43.152,-7.385
0.274,-0.524,-0.679,89.417,45.105,-10.376
0.264,-0.533,-0.709,91.125,46.753,-13.489
0.254,-0.533,-0.740,94.238,46.997,-14.587
0.240,-0.531,-0.776,94.666,46.387,-14.526
0.225,-0.542,-0.805,91.431,45.959,-13.672
0.220,-0.551,-0.818,86.365,44.556,-11.536
0.208,-0.546,-0.812,80.139,42.542,-9.338
0.202,-0.525,-0.796,73.853,40.955,-7.202
0.207,-0.518,-0.776,70.557,39.673,-5.371
0.211,-0.497,-0.775,71.350,38.452,-4.883
0.213,-0.479,-0.790,74.341,37.292,-5.676
0.213,-0.477,-0.825,77.087,37.598,-7.324
0.210,-0.480,-0.871,78.613,38.452,-8.545
0.181,-0.473,-0.926,78.796,38.696,-9.338
0.182,-0.490,-0.951,77.209,40.161,-8.179
0.175,-0.500,-0.990,73.853,41.077,-7.202
0.170,-0.505,-1.001,70.190,37.048,-6.104
0.177,-0.495,-1.001,66.528,29.175,-4.272
0.181,-0.496,-0.972,62.012,22.095,-3.357
0.185,-0.506,-0.949,57.678,18.188,-3.235
0.197,-0.514,-0.937,56.274,16.113,-2.991
0.211,-0.482,-0.911,56.274,14.832,-2.625
0.219,-0.466,-0.908,56.152,15.686,-3.052
0.218,-0.476,-0.918,56.152,19.775,-3.723
0.227,-0.480,-0.947,56.702,22.217,-4.089
0.231,-0.461,-0.959,57.434,21.179,-4.272
0.214,-0.455,-0.973,57.068,18.494,-4.578
0.197,-0.453,-0.985,53.955,18.372,-4.150
0.190,-0.447,-0.995,50.598,18.860,-3.296
0.190,-0.427,-1.002,49.255,17.578,-2.563
0.188,-0.407,-1.002,47.974,15.198,-2.869
0.178,-0.410,-0.974,45.898,12.939,-3.967
0.164,-0.393,-0.987,45.593,11.536,-4.822
0.163,-0.401,-0.980,46.570,14.832,-4.272
0.153,-0.390,-0.998,44.495,15.625,-5.066
0.149,-0.390,-1.000,42.114,15.503,-4.272
0.138,-0.387,-0.998,38.574,14.771,-3.235
0.131,-0.377,-0.994,34.546,13.916,-2.808
0.134,-0.370,-0.982,32.532,13.733,-2.258
0.133,-0.358,-0.977,31.494,13.916,-2.136
0.134,-0.355,-0.974,30.090,14.526,-2.136
0.135,-0.358,-0.981,29.297,14.343,-2.258
0.140,-0.350,-0.984,30.151,13.000,-2.747
0.136,-0.348,-0.982,30.334,11.780,-3.296
0.125,-0.357,-0.990,28.503,13.000,-3.357
0.122,-0.369,-0.990,26.184,14.587,-2.991
0.121,-0.370,-0.985,25.513,13.916,-2.197
0.119,-0.363,-0.981,25.452,11.597,-1.099
0.123,-0.364,-0.971,24.902,9.583,-0.122
0.128,-0.359,-0.964,23.682,9.094,0.000
0.137,-0.349,-0.954,23.560,9.338,0.427
0.145,-0.340,-0.951,24.048,9.033,0.610
0.145,-0.344,-0.949,23.926,9.399,0.488
0.140,-0.340,-0.950,23.010,10.254,0.732
0.137,-0.331,-0.955,22.522,11.780,1.404
0.137,-0.320,-0.969,23.071,13.123,1.526
0.141,-0.321,-0.975,23.804,13.428,1.221
0.138,-0.319,-0.988,23.865,12.878,0.549
0.129,-0.318,-0.997,23.499,11.719,-0.244
0.122,-0.317,-1.002,22.522,10.864,-0.549
0.122,-0.319,-1.005,20.996,10.681,-0.305

-0.165,-0.160,-2.219,-74.036,-13.794,-3.723
-0.173,-0.137,-2.056,-105.347,-41.321,0.610
-0.170,-0.122,-1.874,-135.132,-57.129,6.531
-0.136,-0.127,-1.704,-153.992,-62.683,12.634
-0.123,-0.129,-1.573,-162.842,-64.636,17.334
-0.112,-0.134,-1.494,-166.565,-67.993,22.522
-0.069,-0.174,-1.424,-165.771,-79.346,31.311
-0.044,-0.160,-1.347,-167.786,-76.172,31.128
-0.025,-0.158,-1.256,-176.819,-68.359,24.109
-0.032,-0.144,-1.183,-187.744,-63.232,24.292
-0.033,-0.158,-1.097,-194.641,-68.298,30.151
-0.012,-0.113,-1.010,-198.242,-78.125,36.011
0.017,-0.109,-0.936,-199.402,-92.896,40.039
0.005,-0.112,-0.829,-199.402,-109.131,40.588
-0.036,-0.136,-0.696,-199.158,-127.625,43.396
0.041,-0.103,-0.611,-199.280,-146.423,48.157
0.025,-0.069,-0.524,-201.721,-148.499,41.687
0.021,-0.113,-0.418,-203.003,-137.939,37.903
0.017,-0.114,-0.336,-206.665,-128.418,34.424
-0.003,-0.102,-0.245,-207.031,-115.479,31.311
-0.011,-0.133,-0.155,-204.529,-100.281,30.334
0.000,-0.169,-0.074,-200.806,-91.248,32.593
0.014,-0.229,0.015,-192.871,-90.393,35.889
0.019,-0.247,0.075,-183.167,-90.820,38.086
0.057,-0.318,0.129,-173.462,-87.708,40.588
0.115,-0.388,0.197,-166.626,-83.313,43.152
0.196,-0.445,0.271,-162.964,-80.383,45.959
0.297,-0.508,0.339,-157.898,-79.529,49.011
0.408,-0.503,0.425,-151.184,-80.505,49.927
0.503,-0.542,0.501,-141.418,-80.688,50.537
0.609,-0.592,0.603,-130.737,-79.468,50.537
0.704,-0.621,0.690,-119.751,-77.026,47.791
0.802,-0.650,0.782,-102.783,-74.280,42.114
0.843,-0.672,0.841,-82.092,-68.542,32.593
0.879,-0.705,0.882,-60.669,-55.786,21.057
0.913,-0.755,0.841,-38.452,-37.903,8.362
0.855,-0.828,0.868,-15.564,-21.790,-3.906
0.814,-0.886,0.778,2.258,-5.432,-12.573
0.754,-0.919,0.677,17.029,9.094,-18.188
0.687,-0.965,0.598,31.982,17.517,-22.278
0.623,-0.990,0.519,42.908,23.560,-24.536
0.576,-1.023,0.430,52.673,27.588,-25.085
0.522,-1.033,0.365,63.171,30.029,-24.658
0.478,-1.016,0.279,73.364,33.630,-23.682
0.440,-1.005,0.203,81.726,37.231,-23.437
0.407,-0.995,0.117,88.013,41.626,-23.437
0.378,-0.985,0.042,93.506,46.936,-22.644
0.356,-0.967,-0.039,97.900,51.453,-21.057
0.330,-0.944,-0.115,100.159,54.077,-19.653
0.322,-0.927,-0.181,100.891,55.420,-17.273
0.304,-0.881,-0.232,100.220,54.871,-14.832
0.303,-0.865,-0.267,97.168,54.626,-12.207
0.303,-0.838,-0.292,93.140,54.321,-9.460
0.306,-0.801,-0.311,90.393,54.199,-6.409
0.327,-0.769,-0.327,88.928,53.894,-4.272
0.341,-0.741,-0.343,88.989,52.673,-3.296
0.353,-0.718,-0.353,89.844,51.514,-3.174
0.359,-0.704,-0.363,90.820,50.842,-3.540
0.362,-0.680,-0.380,92.834,50.659,-4.395
0.354,-0.674,-0.398,94.177,50.781,-5.371
0.347,-0.662,-0.424,93.933,51.208,-5.737
0.345,-0.650,-0.437,94.299,49.866,-4.944
0.335,-0.626,-0.449,93.140,48.462,-4.211
0.332,-0.598,-0.467,91.431,47.974,-3.784
0.340,-0.559,-0.487,92.041,47.668,-3.662
0.346,-0.530,-0.507,94.299,48.035,-4.578
0.341,-0.511,-0.546,97.046,49.866,-7.751
0.340,-0.509,-0.594,100.952,51.636,-11.047
0.326,-0.512,-0.634,104.248,52.795,-14.404
0.297,-0.522,-0.686,104.614,54.749,-16.846
0.272,-0.536,-0.731,102.722,57.495,-16.968
0.266,-0.532,-0.757,99.854,57.312,-15.808
0.240,-0.519,-0.766,95.459,55.481,-15.259
0.230,-0.518,-0.765,92.468,52.917,-14.709
0.227,-0.498,-0.759,92.163,48.584,-14.587
0.216,-0.469,-0.768,94.727,44.434,-15.930
0.203,-0.455,-0.804,98.389,42.908,-18.066
0.208,-0.457,-0.846,101.257,42.969,-19.714
0.186,-0.458,-0.886,101.135,43.945,-20.752
0.161,-0.460,-0.940,97.778,47.241,-19.653
0.160,-0.452,-0.959,94.299,47.791,-17.273
0.172,-0.460,-0.978,92.468,42.114,-14.038
0.177,-0.451,-0.993,88.196,43.823,-13.489
0.173,-0.452,-0.990,82.153,40.771,-16.235
0.186,-0.457,-0.976,79.346,34.119,-16.602
0.179,-0.459,-0.957,79.346,26.184,-16.907
0.170,-0.462,-0.958,79.407,20.935,-16.602
0.177,-0.461,-0.958,78.613,19.592,-14.648
0.172,-0.433,-0.964,76.416,21.240,-12.329
0.172,-0.420,-0.980,72.388,27.039,-9.705
0.175,-0.415,-1.000,67.749,32.837,-8.057
0.191,-0.402,-1.018,64.636,34.058,-6.958
0.193,-0.378,-1.017,62.927,30.334,-7.507
0.187,-0.369,-1.020,61.707,25.146,-10.193
0.183,-0.381,-1.011,61.157,20.447,-12.756
0.171,-0.400,-0.978,61.279,15.564,-15.320
0.147,-0.387,-0.998,61.279,13.672,-15.686
0.156,-0.388,-0.992,59.814,18.372,-13.489
0.134,-0.376,-1.005,54.810,22.644,-12.390
0.125,-0.367,-1.024,50.720,26.917,-10.437
0.126,-0.341,-1.028,49.133,28.442,-7.935
0.124,-0.314,-1.043,48.401,27.466,-7.935
0.116,-0.320,-1.056,47.729,25.879,-9.460
0.119,-0.321,-1.074,47.546,23.132,-10.742
0.110,-0.308,-1.083,46.753,20.447,-11.292
0.097,-0.312,-1.101,43.335,19.958,-11.353
0.093,-0.318,-1.115,38.635,20.020,-10.132
0.090,-0.325,-1.111,34.485,18.921,-8.728
0.092,-0.329,-1.098,30.212,16.724,-7.935
0.091,-0.328,-1.076,26.062,14.038,-7.202
0.094,-0.336,-1.044,23.315,11.658,-6.165
0.101,-0.347,-1.007,21.729,9.155,-5.798
0.104,-0.350,-0.983,21.423,6.775,-5.432
0.110,-0.351,-0.963,21.790,5.859,-5.005
0.115,-0.347,-0.943,20.752,7.690,-4.639
0.117,-0.335,-0.937,19.470,10.864,-4.211
0.118,-0.326,-0.939,19.958,13.428,-3.845
0.119,-0.312,-0.951,21.606,14.587,-3.723
0.116,-0.294,-0.974,22.888,15.747,-4.211

-0.363,0.171,-2.169,-62.988,-34.363,5.127
-0.450,0.142,-2.259,-85.327,-33.875,3.235
-0.506,0.082,-2.314,-116.821,-35.156,7.568
-0.482,0.054,-2.334,-151.367,-44.922,21.973
-0.457,0.061,-2.237,-182.800,-61.096,37.231
-0.426,0.104,-2.138,-212.524,-76.050,48.035
-0.383,0.143,-2.000,-237.549,-85.266,54.504
-0.350,0.146,-1.878,-254.822,-90.454,56.335
-0.329,0.148,-1.796,-264.099,-100.220,57.312
-0.284,0.073,-1.618,-262.512,-126.892,61.768
-0.246,0.090,-1.445,-269.043,-133.240,58.472
-0.200,0.156,-1.294,-287.842,-128.601,47.119
-0.212,0.165,-1.101,-306.763,-123.901,45.105
-0.167,0.148,-0.953,-316.589,-125.244,52.002
-0.107,0.112,-0.776,-317.078,-131.836,61.218
-0.040,0.109,-0.588,-315.369,-145.020,71.167
-0.022,0.180,-0.411,-311.096,-163.635,81.909
0.088,0.116,-0.148,-303.284,-187.683,95.947
0.184,0.194,-0.020,-297.791,-197.388,88.928
0.249,0.109,0.184,-291.321,-179.199,80.688
0.338,0.062,0.345,-291.748,-161.194,73.547
0.401,0.026,0.552,-289.001,-143.066,67.505
0.464,-0.026,0.769,-276.550,-125.549,64.514
0.532,-0.112,0.962,-256.836,-114.685,61.951
0.565,-0.176,1.111,-229.675,-110.474,59.631
0.581,-0.253,1.207,-197.937,-107.910,55.847
0.600,-0.342,1.307,-165.100,-103.149,48.889
0.625,-0.418,1.369,-132.812,-96.008,39.734
0.632,-0.473,1.396,-102.661,-85.205,30.151
0.649,-0.539,1.391,-73.914,-70.068,21.667
0.651,-0.587,1.315,-45.593,-53.345,13.977
0.623,-0.643,1.204,-17.578,-32.227,7.568
0.605,-0.715,1.072,5.066,-9.766,1.282
0.580,-0.753,0.917,22.156,7.507,-5.310
0.544,-0.786,0.758,38.269,20.630,-12.817
0.496,-0.815,0.599,54.443,31.433,-20.142
0.448,-0.841,0.444,71.289,38.513,-26.428
0.404,-0.869,0.287,88.745,43.152,-31.555
0.360,-0.893,0.119,104.736,47.791,-35.339
0.319,-0.898,-0.055,117.615,53.406,-36.621
0.295,-0.907,-0.240,126.160,60.181,-36.133
0.274,-0.923,-0.407,127.869,66.589,-35.034
0.258,-0.948,-0.562,121.216,71.960,-33.203
0.253,-0.978,-0.668,108.582,74.402,-28.381
0.259,-0.992,-0.736,93.506,71.594,-21.606
0.284,-0.984,-0.765,77.820,63.049,-14.282
0.321,-0.975,-0.747,62.195,49.927,-7.629
0.350,-0.971,-0.679,49.133,34.546,-3.235
0.372,-0.959,-0.607,40.222,18.799,-0.854
0.392,-0.944,-0.519,35.706,4.089,1.587
0.417,-0.917,-0.430,33.081,-7.385,3.357
0.444,-0.889,-0.334,32.043,-15.564,4.272
0.450,-0.867,-0.240,32.715,-19.714,4.333
0.464,-0.849,-0.178,33.508,-18.433,3.845
0.471,-0.828,-0.122,36.621,-14.587,3.601
0.467,-0.803,-0.095,39.429,-7.019,3.418
0.494,-0.788,-0.056,42.786,2.502,3.601
0.504,-0.808,-0.073,47.607,11.536,5.005
0.457,-0.736,-0.122,52.856,14.648,3.174
0.455,-0.730,-0.160,58.960,25.146,1.770
0.466,-0.739,-0.179,60.852,36.072,-1.221
0.446,-0.719,-0.214,61.096,43.213,-3.418
0.427,-0.699,-0.233,63.904,43.762,-3.662
0.427,-0.679,-0.248,69.946,40.466,-3.723
0.422,-0.658,-0.264,78.308,36.316,-5.432
0.398,-0.640,-0.294,86.731,33.081,-9.094
0.373,-0.625,-0.332,93.018,32.104,-12.573
0.363,-0.629,-0.359,96.497,34.302,-14.160
0.356,-0.632,-0.398,97.290,39.978,-13.916
0.334,-0.633,-0.448,95.825,47.363,-13.367
0.313,-0.631,-0.492,93.628,53.284,-12.573
0.304,-0.606,-0.534,92.896,55.176,-11.536
0.319,-0.570,-0.553,93.689,53.711,-11.414
0.291,-0.573,-0.582,93.201,53.833,-13.977
0.270,-0.592,-0.613,92.896,56.763,-16.968
0.261,-0.607,-0.654,95.947,58.044,-18.250
0.253,-0.605,-0.697,99.121,55.786,-17.822
0.238,-0.604,-0.736,99.365,52.734,-16.479
0.220,-0.608,-0.756,97.229,49.194,-14.343
0.223,-0.599,-0.764,95.398,45.532,-11.902
0.231,-0.570,-0.774,93.689,41.748,-9.460
0.234,-0.546,-0.777,93.994,37.842,-8.606
0.231,-0.536,-0.802,93.811,36.865,-8.789
0.244,-0.533,-0.822,92.041,38.208,-8.972
0.236,-0.521,-0.852,89.844,40.039,-9.583
0.234,-0.517,-0.890,86.365,42.480,-11.047
0.223,-0.528,-0.920,83.374,44.434,-11.108
0.221,-0.532,-0.952,80.078,43.823,-10.376
0.226,-0.525,-0.960,76.416,40.344,-8.972
0.230,-0.510,-0.959,72.510,34.058,-7.690
0.221,-0.498,-0.950,69.214,27.283,-7.385
0.219,-0.491,-0.927,66.162,22.705,-7.507
0.217,-0.485,-0.906,62.805,21.423,-6.592
0.221,-0.478,-0.894,61.340,21.362,-6.042
0.226,-0.445,-0.902,62.134,20.386,-6.348
0.220,-0.414,-0.909,64.758,19.165,-7.324
0.184,-0.415,-0.937,64.453,21.606,-8.789
0.174,-0.402,-0.969,61.279,27.954,-9.094
0.160,-0.423,-1.050,59.509,31.250,-7.385
0.165,-0.432,-1.012,60.181,32.104,-4.333
0.178,-0.418,-1.046,55.725,33.569,-4.761
0.180,-0.414,-1.046,47.546,35.095,-4.883
0.178,-0.403,-1.038,42.236,30.212,-4.517
0.176,-0.389,-1.019,41.748,22.583,-4.028
0.175,-0.383,-1.011,43.396,16.479,-3.967
0.169,-0.385,-1.011,43.457,14.893,-5.432
0.158,-0.391,-1.022,42.542,16.907,-6.653
0.158,-0.390,-1.030,41.077,17.639,-6.531
0.156,-0.389,-1.027,39.429,16.602,-5.615
0.156,-0.391,-1.020,37.720,15.564,-5.249
0.147,-0.401,-1.020,35.645,15.198,-4.578
0.150,-0.402,-1.019,33.936,14.526,-3.906
0.143,-0.394,-1.000,31.494,14.709,-3.418
0.139,-0.390,-0.994,27.466,17.334,-2.930
0.141,-0.389,-0.995,25.085,19.226,-1.892
0.149,-0.382,-0.991,25.757,17.273,-1.160
0.154,-0.353,-0.996,27.039,13.977,-0.977
0.149,-0.347,-0.995,27.649,11.841,-2.197
0.146,-0.360,-0.998,26.550,11.719,-3.357

-0.402,0.403,-2.460,-30.884,35.278,-27.100
-0.581,0.570,-2.929,-45.105,37.415,-39.368
-0.767,0.663,-3.369,-72.571,31.128,-50.110
-0.880,0.500,-3.606,-111.084,4.150,-52.307
-0.953,0.261,-3.493,-159.058,-41.809,-40.771
-0.945,0.082,-3.087,-218.018,-89.478,-17.944
-0.834,-0.049,-2.479,-281.433,-120.667,10.620
-0.679,-0.115,-1.866,-335.937,-130.432,37.781
-0.499,-0.055,-1.346,-370.300,-131.714,60.059
-0.271,0.043,-0.962,-378.113,-136.169,78.857
-0.055,0.064,-0.613,-361.755,-150.452,92.896
0.198,0.085,-0.342,-344.055,-141.235,92.346
0.355,0.053,-0.155,-337.891,-131.042,80.078
0.484,0.038,0.051,-333.069,-125.244,76.477
0.592,0.062,0.255,-323.975,-128.113,79.346
0.666,0.123,0.478,-309.204,-135.742,80.872
0.747,-0.088,0.640,-286.255,-145.142,85.266
0.782,-0.005,0.724,-258.606,-161.133,78.857
0.776,-0.045,0.863,-227.234,-152.405,58.411
0.756,-0.214,0.928,-204.773,-119.446,37.720
0.702,-0.315,0.915,-193.115,-80.933,16.602
0.634,-0.452,0.917,-179.077,-43.701,5.249
0.560,-0.486,0.893,-164.185,-18.616,2.258
0.484,-0.513,0.870,-143.555,-10.986,3.784
0.422,-0.558,0.745,-116.943,-17.395,4.150
0.323,-0.648,0.662,-88.318,-27.832,2.319
0.244,-0.704,0.563,-67.932,-34.729,-0.488
0.214,-0.755,0.531,-53.284,-38.086,-2.380
0.169,-0.774,0.494,-42.358,-42.297,-3.601
0.141,-0.800,0.454,-31.494,-39.063,0.488
0.151,-0.821,0.424,-19.531,-33.264,7.446
0.179,-0.843,0.372,-8.850,-26.367,11.108
0.224,-0.858,0.294,0.366,-18.616,10.559
0.234,-0.886,0.285,11.353,-13.733,9.155
0.299,-0.891,0.204,21.851,-8.606,8.484
0.340,-0.912,0.155,31.311,-5.615,7.690
0.367,-0.932,0.091,36.987,-1.587,5.554
0.386,-0.949,0.032,40.710,5.188,4.272
0.405,-0.948,-0.036,44.250,12.512,2.808
0.419,-0.955,-0.098,46.143,19.958,0.427
0.416,-0.961,-0.171,46.753,26.917,-2.136
0.401,-0.973,-0.246,46.326,33.081,-3.418
0.396,-0.975,-0.316,44.861,35.889,-3.235
0.395,-0.973,-0.363,42.969,34.363,-1.831
0.390,-0.963,-0.387,39.734,29.846,0.000
0.391,-0.958,-0.386,36.133,23.499,2.014
0.399,-0.950,-0.365,32.532,16.296,3.967
0.420,-0.933,-0.331,29.663,8.911,6.226
0.434,-0.908,-0.296,28.564,2.380,7.507
0.440,-0.898,-0.248,26.123,-1.404,7.324
0.452,-0.883,-0.210,24.109,-3.052,7.141
0.451,-0.856,-0.176,25.696,-4.272,6.775
0.446,-0.827,-0.154,30.090,-4.639,6.104
0.437,-0.811,-0.152,34.241,-2.808,4.761
0.463,-0.813,-0.173,38.757,-0.183,4.822
0.444,-0.803,-0.158,43.518,-1.343,2.686
0.438,-0.798,-0.187,50.354,4.822,2.014
0.447,-0.802,-0.196,51.819,13.062,0.244
0.427,-0.795,-0.223,48.401,21.179,-1.526
0.414,-0.802,-0.237,45.044,25.391,-0.671
0.411,-0.794,-0.246,45.837,25.452,1.038
0.408,-0.777,-0.240,46.875,24.048,1.404
0.406,-0.769,-0.237,46.692,24.719,-0.061
0.403,-0.765,-0.240,48.584,25.330,-2.380
0.405,-0.758,-0.248,54.260,24.109,-3.601
0.414,-0.752,-0.263,61.279,21.545,-4.883
0.411,-0.758,-0.272,66.467,20.325,-6.897
0.403,-0.756,-0.294,68.481,21.667,-8.606
0.388,-0.759,-0.329,68.848,24.963,-9.338
0.367,-0.771,-0.347,68.481,28.442,-8.972
0.354,-0.757,-0.371,68.298,31.006,-6.592
0.347,-0.734,-0.402,67.444,33.203,-4.333
0.348,-0.712,-0.421,68.176,34.668,-3.479
0.351,-0.713,-0.449,68.665,36.682,-3.906
0.355,-0.707,-0.480,70.496,38.086,-5.310
0.350,-0.701,-0.506,73.792,36.255,-7.629
0.336,-0.701,-0.532,77.026,33.203,-10.315
0.321,-0.716,-0.562,78.613,31.067,-11.597
0.308,-0.720,-0.585,78.918,29.358,-10.925
0.303,-0.718,-0.590,77.393,27.405,-9.583
0.301,-0.709,-0.590,74.158,26.611,-7.751
0.299,-0.687,-0.582,70.679,26.733,-6.348
0.307,-0.668,-0.573,68.054,27.832,-5.493
0.316,-0.662,-0.564,67.200,29.297,-6.409
0.311,-0.655,-0.568,68.115,30.334,-8.057
0.299,-0.632,-0.585,70.862,29.846,-9.338
0.305,-0.616,-0.606,74.890,28.931,-9.705
0.303,-0.619,-0.631,77.515,29.114,-10.620
0.299,-0.622,-0.670,78.552,29.846,-11.414
0.294,-0.623,-0.700,79.285,28.625,-11.292
0.277,-0.622,-0.716,77.881,26.917,-10.620
0.256,-0.600,-0.730,72.876,28.198,-8.972
0.251,-0.588,-0.742,68.359,31.616,-7.141
0.260,-0.553,-0.759,66.833,32.898,-6.714
0.253,-0.533,-0.762,67.871,32.043,-8.789
0.243,-0.532,-0.789,69.519,31.372,-11.902
0.233,-0.536,-0.812,72.388,30.212,-13.733
0.231,-0.542,-0.828,74.951,27.405,-14.648
0.216,-0.552,-0.834,75.317,24.963,-14.404
0.222,-0.557,-0.850,73.181,24.353,-12.634
0.237,-0.547,-0.839,69.519,24.353,-10.620
0.243,-0.528,-0.831,64.819,24.597,-9.888
0.238,-0.512,-0.825,62.134,24.658,-10.437
0.226,-0.492,-0.816,63.293,22.705,-11.963
0.219,-0.499,-0.801,67.078,21.545,-11.475
0.209,-0.495,-0.813,67.688,27.893,-13.184
0.191,-0.490,-0.853,65.979,32.532,-16.418
0.181,-0.502,-0.877,66.101,34.485,-15.747
0.169,-0.496,-0.905,65.735,33.691,-13.733
0.167,-0.489,-0.931,64.392,31.677,-11.841
0.176,-0.478,-0.945,62.500,29.114,-9.521
0.172,-0.450,-0.980,60.852,24.963,-8.728
0.176,-0.436,-0.943,60.486,23.987,-8.667
0.176,-0.427,-0.932,58.350,24.597,-10.620
0.156,-0.412,-0.944,56.580,23.926,-12.512
0.156,-0.428,-0.954,57.617,24.475,-11.963
0.147,-0.426,-0.974,56.458,25.452,-10.925
0.137,-0.422,-0.992,54.016,27.100,-10.132
0.139,-0.418,-0.995,51.880,29.358,-9.277

-0.280,-0.107,-2.245,-94.604,-17.944,1.648
-0.294,-0.064,-2.253,-117.432,-28.625,8.240
-0.305,-0.037,-2.255,-140.564,-37.231,11.719
-0.299,-0.043,-2.225,-163.879,-42.542,13.428
-0.309,-0.038,-2.154,-185.913,-48.340,17.090
-0.289,-0.078,-2.067,-206.604,-56.213,21.118
-0.260,-0.096,-1.843,-224.060,-70.923,28.076
-0.243,-0.068,-1.729,-233.521,-97.107,39.612
-0.189,-0.047,-1.522,-246.338,-103.882,42.969
-0.175,0.050,-1.330,-268.311,-104.919,35.583
-0.174,0.004,-1.135,-282.959,-106.018,35.583
-0.122,-0.032,-0.908,-288.269,-114.258,45.044
-0.069,-0.021,-0.661,-293.945,-127.686,56.396
0.008,0.006,-0.403,-300.659,-140.259,67.078
-0.021,0.136,-0.182,-299.805,-154.663,78.491
0.162,0.001,0.061,-291.382,-175.537,92.712
0.233,0.033,0.264,-285.034,-178.101,83.923
0.290,-0.022,0.462,-275.879,-159.424,75.989
0.363,-0.055,0.653,-270.508,-142.883,65.979
0.398,-0.101,0.820,-259.888,-122.498,58.777
0.446,-0.116,0.950,-240.723,-96.863,55.359
0.504,-0.213,1.037,-218.506,-72.876,52.368
0.548,-0.285,1.062,-192.322,-59.204,49.866
0.578,-0.382,1.106,-161.194,-55.786,45.471
0.606,-0.444,1.090,-128.601,-53.101,37.659
0.613,-0.490,1.064,-101.013,-51.086,23.743
0.574,-0.544,1.006,-80.017,-48.096,10.254
0.551,-0.623,0.969,-59.814,-39.551,6.592
0.540,-0.698,0.925,-40.588,-32.898,6.470
0.531,-0.742,0.875,-22.095,-24.780,5.493
0.533,-0.791,0.787,-4.639,-14.282,2.808
0.523,-0.821,0.688,12.512,-3.296,-1.282
0.505,-0.837,0.564,31.006,7.935,-5.676
0.472,-0.869,0.413,49.011,17.883,-12.329
0.415,-0.916,0.264,63.354,24.536,-19.409
0.362,-0.958,0.118,74.524,28.687,-23.254
0.315,-0.988,-0.016,83.069,31.006,-24.109
0.289,-1.004,-0.136,87.402,33.569,-22.522
0.270,-1.012,-0.256,86.792,37.292,-20.081
0.264,-1.021,-0.346,82.947,40.039,-16.968
0.277,-1.018,-0.422,77.759,40.405,-13.000
0.290,-1.018,-0.443,70.496,37.720,-9.277
0.304,-1.006,-0.456,61.035,33.386,-6.165
0.316,-0.996,-0.432,53.345,27.405,-3.418
0.335,-0.974,-0.406,48.340,21.240,-0.061
0.367,-0.948,-0.356,45.593,15.198,3.723
0.401,-0.914,-0.323,43.518,10.742,6.287
0.430,-0.885,-0.272,43.030,7.874,7.629
0.458,-0.852,-0.245,43.274,6.653,7.141
0.465,-0.836,-0.211,43.701,8.057,5.554
0.470,-0.810,-0.212,45.105,11.475,3.784
0.471,-0.794,-0.208,47.485,14.099,1.831
0.418,-0.719,-0.250,50.110,17.334,-0.122
0.462,-0.776,-0.261,51.575,18.982,-0.183
0.443,-0.787,-0.280,55.237,15.686,-2.197
0.427,-0.764,-0.299,59.631,18.738,-2.808
0.419,-0.750,-0.318,58.350,24.414,-3.906
0.400,-0.756,-0.337,55.481,28.687,-4.700
0.388,-0.754,-0.342,56.274,28.809,-3.967
0.391,-0.731,-0.355,59.509,26.917,-3.479
0.383,-0.728,-0.364,61.768,25.085,-5.066
0.367,-0.732,-0.379,62.622,23.987,-8.484
0.361,-0.725,-0.388,64.941,22.827,-9.705
0.356,-0.716,-0.390,67.749,21.667,-9.644
0.350,-0.721,-0.401,69.885,21.729,-9.583
0.345,-0.722,-0.413,70.862,23.254,-9.521
0.335,-0.722,-0.433,70.679,25.818,-9.583
0.318,-0.720,-0.455,69.519,28.992,-8.972
0.318,-0.706,-0.472,69.458,30.884,-7.263
0.314,-0.680,-0.487,71.045,31.189,-6.409
0.304,-0.670,-0.531,72.876,33.875,-6.958
